Indicator Code: CG1500
"Indicator Name: Road traffic accidents"
Export date: 3/16/2025 9:30:08 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: V01-V04, V06 (.1-.9), V09 (.2-.3), V10- V14 (.3-.9), V15-V19 (.4-.9), V20-V28 (.3-.9), V29- V79 (.4-.9), V80 (.3-.5), V81.1, V82 (.1, .8-.9), V83-V86 (.0-.3), V87 (.0-.9), V89 (.2-.3, .9), V99, Y85.0"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
NAC,North America and the Caribbean,CAN,Canada,2008,Male,Age20_24,[20-24],237.00000000,25.34759358,,19.93171076,
NAC,North America and the Caribbean,CAN,Canada,2008,All,Age15_19,[15-19],268.00000000,29.97762864,,11.92272650,
NAC,North America and the Caribbean,CAN,Canada,2008,All,Age20_24,[20-24],319.00000000,25.23734177,,13.73834609,
NAC,North America and the Caribbean,CAN,Canada,2008,Female,Age15_19,[15-19],89.00000000,31.01045296,,8.13105432,
NAC,North America and the Caribbean,CAN,Canada,2008,Female,Age20_24,[20-24],82.00000000,24.92401216,,7.23795939,
NAC,North America and the Caribbean,CAN,Canada,2009,All,Age15_19,[15-19],251.00000000,28.26576577,,11.16650369,
NAC,North America and the Caribbean,CAN,Canada,2009,All,Age20_24,[20-24],274.00000000,22.68211921,,11.65334613,
NAC,North America and the Caribbean,CAN,Canada,2009,Male,Age15_19,[15-19],174.00000000,28.80794702,,15.10654018,
NAC,North America and the Caribbean,CAN,Canada,2009,Male,Age20_24,[20-24],207.00000000,23.57630979,,17.15945527,
NAC,North America and the Caribbean,CAN,Canada,2010,All,Age15_19,[15-19],254.00000000,29.29642445,,11.39455950,
NAC,North America and the Caribbean,CAN,Canada,2010,All,Age20_24,[20-24],278.00000000,22.86184211,,11.69558660,
NAC,North America and the Caribbean,CAN,Canada,2010,Male,Age15_19,[15-19],173.00000000,29.17369309,,15.15661249,
NAC,North America and the Caribbean,CAN,Canada,2010,Male,Age20_24,[20-24],202.00000000,23.29873126,,16.54458890,
NAC,North America and the Caribbean,CAN,Canada,2009,Female,Age15_19,[15-19],77.00000000,27.11267606,,7.02566283,
NAC,North America and the Caribbean,CAN,Canada,2009,Female,Age20_24,[20-24],67.00000000,20.30303030,,5.85188103,
NAC,North America and the Caribbean,CAN,Canada,2010,Female,Age15_19,[15-19],81.00000000,29.56204380,,7.44676939,
NAC,North America and the Caribbean,CAN,Canada,2010,Female,Age20_24,[20-24],76.00000000,21.77650430,,6.57426366,
NAC,North America and the Caribbean,CAN,Canada,2011,All,Age15_19,[15-19],193.00000000,24.30730479,,8.63060475,
NAC,North America and the Caribbean,CAN,Canada,2011,All,Age20_24,[20-24],253.00000000,20.33762058,,10.62126865,
NAC,North America and the Caribbean,CAN,Canada,2011,Female,Age15_19,[15-19],58.00000000,22.13740458,,5.31245478,
NAC,North America and the Caribbean,CAN,Canada,2011,Female,Age20_24,[20-24],58.00000000,16.76300578,,4.98664353,
NAC,North America and the Caribbean,CAN,Canada,2011,Male,Age15_19,[15-19],135.00000000,25.37593985,,11.79602832,
NAC,North America and the Caribbean,CAN,Canada,2011,Male,Age20_24,[20-24],195.00000000,21.71492205,,15.99795226,
NAC,North America and the Caribbean,CAN,Canada,2012,All,Age15_19,[15-19],215.00000000,26.28361858,,9.63832089,
NAC,North America and the Caribbean,CAN,Canada,2012,All,Age20_24,[20-24],277.00000000,21.87993681,,11.52757421,
NAC,North America and the Caribbean,CAN,Canada,2012,Female,Age15_19,[15-19],69.00000000,24.55516014,,6.34033251,
NAC,North America and the Caribbean,CAN,Canada,2012,Female,Age20_24,[20-24],74.00000000,20.21857923,,6.28511489,
NAC,North America and the Caribbean,CAN,Canada,2013,All,Age15_19,[15-19],174.00000000,24.61103253,,7.88048832,
NAC,North America and the Caribbean,CAN,Canada,2013,All,Age20_24,[20-24],241.00000000,19.90090834,,9.86905686,
NAC,North America and the Caribbean,CAN,Canada,2012,Male,Age15_19,[15-19],146.00000000,27.18808194,,12.78008967,
NAC,North America and the Caribbean,CAN,Canada,2012,Male,Age20_24,[20-24],203.00000000,22.55555556,,16.56407277,
NAC,North America and the Caribbean,CAN,Canada,2013,Male,Age15_19,[15-19],119.00000000,25.81344902,,10.50905324,
NAC,North America and the Caribbean,CAN,Canada,2013,Male,Age20_24,[20-24],180.00000000,21.25147580,,14.47665679,
NAC,North America and the Caribbean,CAN,Canada,2013,Female,Age15_19,[15-19],55.00000000,22.35772358,,5.11334425,
NAC,North America and the Caribbean,CAN,Canada,2013,Female,Age20_24,[20-24],61.00000000,16.75824176,,5.08932601,
NAC,North America and the Caribbean,CAN,Canada,2017,All,Age15_19,[15-19],105.00000000,14.34426230,,5.07817979,
NAC,North America and the Caribbean,CAN,Canada,2017,All,Age20_24,[20-24],157.00000000,11.46822498,,6.29234054,
NAC,North America and the Caribbean,CAN,Canada,2014,All,Age15_19,[15-19],143.00000000,19.80609418,,6.58153929,
NAC,North America and the Caribbean,CAN,Canada,2014,All,Age20_24,[20-24],192.00000000,16.59464131,,7.72325331,
NAC,North America and the Caribbean,CAN,Canada,2014,Female,Age15_19,[15-19],48.00000000,20.77922078,,4.54326896,
NAC,North America and the Caribbean,CAN,Canada,2014,Female,Age20_24,[20-24],45.00000000,13.43283582,,3.68922615,
NAC,North America and the Caribbean,CAN,Canada,2014,Male,Age15_19,[15-19],95.00000000,19.34826884,,8.51081366,
NAC,North America and the Caribbean,CAN,Canada,2014,Male,Age20_24,[20-24],147.00000000,17.88321168,,11.60933865,
NAC,North America and the Caribbean,CAN,Canada,2016,All,Age15_19,[15-19],117.00000000,17.03056769,,5.56765052,
NAC,North America and the Caribbean,CAN,Canada,2016,All,Age20_24,[20-24],175.00000000,13.51351351,,6.94713508,
NAC,North America and the Caribbean,CAN,Canada,2017,Male,Age20_24,[20-24],114.00000000,11.66837257,,8.93385421,
NAC,North America and the Caribbean,CAN,Canada,2017,Male,Age15_19,[15-19],70.00000000,14.37371663,,6.59247309,
NAC,North America and the Caribbean,CAN,Canada,2017,Female,Age20_24,[20-24],43.00000000,10.96938776,,3.52739473,
NAC,North America and the Caribbean,CAN,Canada,2017,Female,Age15_19,[15-19],35.00000000,14.28571429,,3.47969943,
NAC,North America and the Caribbean,CAN,Canada,2015,All,Age15_19,[15-19],141.00000000,20.14285714,,6.61346191,
NAC,North America and the Caribbean,CAN,Canada,2015,All,Age20_24,[20-24],203.00000000,15.94658288,,8.06606705,
NAC,North America and the Caribbean,CAN,Canada,2016,Female,Age20_24,[20-24],43.00000000,11.68478261,,3.49091712,
NAC,North America and the Caribbean,CAN,Canada,2016,Female,Age15_19,[15-19],45.00000000,19.48051948,,4.40784086,
NAC,North America and the Caribbean,CAN,Canada,2016,Male,Age20_24,[20-24],132.00000000,14.23948220,,10.25448206,
NAC,North America and the Caribbean,CAN,Canada,2016,Male,Age15_19,[15-19],72.00000000,15.78947368,,6.66356934,
NAC,North America and the Caribbean,CAN,Canada,2015,Male,Age15_19,[15-19],98.00000000,21.44420131,,8.93075204,
NAC,North America and the Caribbean,CAN,Canada,2015,Male,Age20_24,[20-24],152.00000000,16.94537347,,11.83617181,
NAC,North America and the Caribbean,CAN,Canada,2015,Female,Age20_24,[20-24],51.00000000,13.56382979,,4.13787396,
NAC,North America and the Caribbean,CAN,Canada,2015,Female,Age15_19,[15-19],43.00000000,17.69547325,,4.15586625,
NAC,North America and the Caribbean,CAN,Canada,2022,All,Age20_24,[20-24],144.00000000,9.43025540,,6.32214212,
NAC,North America and the Caribbean,CAN,Canada,2022,All,Age15_19,[15-19],86.00000000,10.76345432,,4.22644922,
NAC,North America and the Caribbean,CAN,Canada,2022,Male,Age15_19,[15-19],62.00000000,11.78707224,,5.97200095,
NAC,North America and the Caribbean,CAN,Canada,2022,Male,Age20_24,[20-24],101.00000000,10.18145161,,8.68646090,
NAC,North America and the Caribbean,CAN,Canada,2022,Female,Age15_19,[15-19],24.00000000,8.79120879,,2.40814676,
NAC,North America and the Caribbean,CAN,Canada,2022,Female,Age20_24,[20-24],43.00000000,8.03738318,,3.85660947,
NAC,North America and the Caribbean,CAN,Canada,2021,Male,Age15_19,[15-19],56.00000000,11.35902637,,5.46966339,
NAC,North America and the Caribbean,CAN,Canada,2021,Male,Age20_24,[20-24],99.00000000,9.09926471,,8.35508610,
NAC,North America and the Caribbean,CAN,Canada,2020,All,Age15_19,[15-19],87.00000000,11.83673469,,4.37556203,
NAC,North America and the Caribbean,CAN,Canada,2020,All,Age20_24,[20-24],167.00000000,10.69142125,,7.06588194,
NAC,North America and the Caribbean,CAN,Canada,2021,Female,Age15_19,[15-19],29.00000000,10.32028470,,2.95855574,
NAC,North America and the Caribbean,CAN,Canada,2021,Female,Age20_24,[20-24],40.00000000,8.00000000,,3.52701029,
NAC,North America and the Caribbean,CAN,Canada,2021,All,Age15_19,[15-19],85.00000000,10.98191214,,4.24142596,
NAC,North America and the Caribbean,CAN,Canada,2021,All,Age20_24,[20-24],139.00000000,8.75314861,,5.99391122,
NAC,North America and the Caribbean,CAN,Canada,2020,Male,Age20_24,[20-24],117.00000000,10.71428571,,9.68356269,
NAC,North America and the Caribbean,CAN,Canada,2020,Male,Age15_19,[15-19],49.00000000,10.35940803,,4.81676154,
NAC,North America and the Caribbean,CAN,Canada,2020,Female,Age20_24,[20-24],50.00000000,10.63829787,,4.32811997,
NAC,North America and the Caribbean,CAN,Canada,2020,Female,Age15_19,[15-19],38.00000000,14.50381679,,3.91333810,
NAC,North America and the Caribbean,CAN,Canada,2019,All,Age20_24,[20-24],166.00000000,12.38805970,,6.89551468,
NAC,North America and the Caribbean,CAN,Canada,2019,All,Age15_19,[15-19],114.00000000,15.44715447,,5.68272452,
NAC,North America and the Caribbean,CAN,Canada,2019,Male,Age15_19,[15-19],73.00000000,14.98973306,,7.10480265,
NAC,North America and the Caribbean,CAN,Canada,2019,Male,Age20_24,[20-24],121.00000000,12.59105099,,9.82772246,
NAC,North America and the Caribbean,CAN,Canada,2019,Female,Age15_19,[15-19],41.00000000,16.33466135,,4.18967154,
NAC,North America and the Caribbean,CAN,Canada,2019,Female,Age20_24,[20-24],45.00000000,11.87335092,,3.82607187,
NAC,North America and the Caribbean,CAN,Canada,2018,Male,Age15_19,[15-19],70.00000000,13.88888889,,6.71113915,
NAC,North America and the Caribbean,CAN,Canada,2018,Male,Age20_24,[20-24],143.00000000,13.59315589,,11.39403192,
NAC,North America and the Caribbean,CAN,Canada,2018,All,Age15_19,[15-19],121.00000000,16.21983914,,5.94930211,
NAC,North America and the Caribbean,CAN,Canada,2018,All,Age20_24,[20-24],195.00000000,12.99133911,,7.94789766,
NAC,North America and the Caribbean,CAN,Canada,2018,Female,Age15_19,[15-19],51.00000000,21.07438017,,5.14737645,
NAC,North America and the Caribbean,CAN,Canada,2018,Female,Age20_24,[20-24],52.00000000,11.58129176,,4.33905365,
